Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Flow ID,Src IP,Src Port,Dst IP
80,6,20/02/2018 09:39:09,105,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19047.61904761905,105.0,0.0,105.0,105.0,105.0,105.0,0.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,19047.61904761905,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,279,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,169.254.169.254-172.31.64.40-80-49377-6,172.31.64.40,49377.0,169.254.169.254
80,6,23/02/2018 09:06:11,5412815,4,4,97,231,97,0,24.25,48.5,231,0,57.75,115.5,60.5969352361,1.4779740301,773259.285714286,2018563.84154706,5350640,3,62175,20725.0,35608.4145813879,61842,108,5412631,1804210.33333333,3124406.34340995,5411964,3,0,0,0,0,92,92,0.7389870151,0.7389870151,0,231,36.4444444444,79.6996096463,6352.0277777778,0,0,0,1,0,0,0,0,1,41.0,24.25,57.75,0,0,0,0,0,0,4,97,4,231,8192,141,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,,,,
3389,6,23/02/2018 11:40:09,3990736,14,8,1460,1731,741,0,104.2857142857,195.0906805216,1179,0,216.375,405.4647906151,799.6018779493,5.5127675697,190035.047619048,258582.988369203,953115,54,3990736,306979.692307692,342106.430202499,1215072,42397,3868376,552625.142857143,358609.62773766,1062600,157771,0,0,0,0,292,172,3.5081248171,2.0046427526,0,1179,138.7391304348,280.3960214656,78621.9288537549,0,0,1,1,0,0,0,1,0,145.0454545455,104.2857142857,216.375,0,0,0,0,0,0,14,1460,8,1731,8192,62625,7,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,,,,
49337,6,02/03/2018 05:16:30,22,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,90909.09091,22.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,45454.54545,45454.54545,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,31088,63544,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,,,,
443,6,20/02/2018 04:44:43,29,2,0,53.0,0.0,53.0,0.0,26.5,37.476659402887016,0.0,0.0,0.0,0.0,1827586.206896552,68965.5172413793,29.0,0.0,29.0,29.0,29.0,29.0,0.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,0,68965.5172413793,0.0,0.0,53.0,35.33333333333333,30.59956426705017,936.3333333333334,0,1,0,0,1,0,0,0,0.0,53.0,26.5,0.0,0,0,0,0,0,0,2,53,0,0,64165,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,172.31.65.38-66.211.185.19-50684-443-6,172.31.65.38,50684.0,66.211.185.19
443,6,20/02/2018 09:33:12,210,3,0,46.0,0.0,46.0,0.0,15.333333333333332,26.558112382722783,0.0,0.0,0.0,0.0,219047.61904761905,14285.714285714284,105.0,11.31370849898476,113.0,97.0,210.0,105.0,11.31370849898476,113.0,97.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,14285.714285714284,0.0,0.0,46.0,11.5,23.0,529.0,0,0,0,0,1,0,0,0,0.0,15.333333333333334,15.333333333333334,0.0,0,0,0,0,0,0,3,46,0,0,254,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,172.31.67.112-94.31.29.138-50381-443-6,172.31.67.112,50381.0,94.31.29.138
53,17,14/02/2018 10:36:53,18114,1,1,33,89,33,33,33.0,0.0,89,89,89.0,0.0,6735.122005079,110.4118361488,18114.0,0.0,18114,18114,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,55.2059180744,55.2059180744,33,89,51.6666666667,32.3316150746,1045.3333333333,0,0,0,0,0,0,0,0,1,77.5,33.0,89.0,0,0,0,0,0,0,1,33,1,89,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign,,,,
52734,6,15/02/2018 04:40:18,0,2,0,31,0,31,0,15.5,21.9203102168,0,0,0.0,0.0,inf,inf,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1,0,0,0,40,0,0.0,0.0,0,31,20.6666666667,17.8978583449,320.3333333333,0,1,0,0,1,0,0,0,0,31.0,15.5,0.0,0,0,0,0,0,0,2,31,0,0,290,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,,,,
53,17,20/02/2018 03:08:47,18636,1,1,31.0,171.0,31.0,31.0,31.0,0.0,171.0,171.0,171.0,0.0,10839.235887529512,107.31916720326252,18636.0,0.0,18636.0,18636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,53.659583601631255,53.659583601631255,31.0,171.0,77.66666666666666,80.82903768654761,6533.333333333333,0,0,0,0,0,0,0,0,1.0,116.5,31.0,171.0,0,0,0,0,0,0,1,31,1,171,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,172.31.0.2-172.31.65.70-53-64166-17,172.31.65.70,64166.0,172.31.0.2
3389,6,20/02/2018 11:17:48,9211737,9,11,1132.0,1581.0,661.0,0.0,125.77777777777776,213.67368683215173,1173.0,0.0,143.72727272727272,352.1017156757663,294.515572904437,2.1711431839619397,484828.2631578948,990520.129652309,4049540.0,33.0,9211737.0,1151467.125,1453375.0664569335,4209002.0,40.0,9119967.0,911996.7,1251176.303952409,4049540.0,115882.0,0,0,0,0,192,232,0.9770144327828726,1.1941287511790666,0.0,1173.0,129.19047619047623,284.9672997113211,81206.36190476191,0,0,0,1,0,0,0,0,1.0,135.65,125.77777777777776,143.72727272727272,0,0,0,0,0,0,9,1132,11,1581,8192,62868,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,172.31.64.14-185.222.56.84-3389-11819-6,185.222.56.84,11819.0,172.31.64.14
57231,6,21/02/2018 02:20:06,1244,5,2,935,311,935,0,187.0,418.1447118,311,0,155.5,219.9102089,1001607.717,5627.009646,207.3333333,278.3161272,715,3,1244,311.0,493.155148,1041,3,715,715.0,0.0,715,715,0,0,0,0,124,40,4019.292605,1607.717042,0,935,155.75,333.1412184,110983.0714,0,0,1,1,0,0,0,1,0,178.0,187.0,155.5,0,0,0,0,0,0,5,935,2,311,65535,32768,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,,,,
58476,6,22/02/2018 09:37:24,40,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,50000.0,40.0,0.0,40,40,40,40.0,0.0,40,40,0,0.0,0.0,0,0,0,0,0,0,40,0,50000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,260,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,,,,
53,17,22/02/2018 12:27:14,37720,2,2,80,278,40,40,40.0,0.0,139,139,139.0,0.0,9490.98621421,106.0445387063,12573.3333333333,10918.1594755404,19671,1,19671,19671.0,0.0,19671,19671,1,1.0,0.0,1,1,0,0,0,0,16,16,53.0222693531,53.0222693531,40,139,79.6,54.224533193,2940.3,0,0,0,0,0,0,0,0,1,99.5,40.0,139.0,0,0,0,0,0,0,2,80,2,278,-1,-1,1,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign,,,,
80,6,20/02/2018 12:50:47,641,3,4,161.0,488.0,161.0,0.0,53.66666666666666,92.95339333952974,488.0,0.0,122.0,244.0,1012480.4992199688,10920.4368174727,106.83333333333331,83.18513488999503,202.0,1.0,317.0,158.5,89.80256121069154,222.0,95.0,439.0,146.33333333333331,131.76620709929134,258.0,1.0,0,0,0,0,72,92,4680.1872074883,6240.249609984399,0.0,488.0,81.125,173.78758586274222,30202.125,0,0,1,1,0,0,0,1,1.0,92.71428571428572,53.66666666666666,122.0,0,0,0,0,0,0,3,161,4,488,8192,149,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,169.254.169.254-172.31.65.99-80-51309-6,172.31.65.99,51309.0,169.254.169.254
445,6,15/02/2018 08:43:40,169800,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,23.5571260306,56600.0,97865.2049045012,169605,69,169800,84900.0,119888.540536617,169674,126,0,0.0,0.0,0,0,0,0,0,0,72,32,17.667844523,5.8892815077,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign,,,,
